"time_utc","type","latitude","longitude","peak_current","ic_height"
"2020-08-29T16:06:00.846069840","0","36.49049","-107.08996","72621.0","0.0"
"2020-08-29T16:06:16.835570538","0","34.21301","-113.01943","-24241.0","0.0"
"2020-08-29T16:06:22.294153050","0","41.05971","-106.59427","-24085.0","0.0"
"2020-08-29T16:07:43.330450872","0","34.21821","-112.99597","-22416.0","0.0"
"2020-08-29T16:08:26.156880977","0","41.06872","-106.66161","-34140.0","0.0"
"2020-08-29T16:10:07.441931556","0","41.0736","-106.67923","-29316.0","0.0"
"2020-08-29T16:11:46.788137897","0","41.07393","-106.60295","-30896.0","0.0"
"2020-08-29T16:13:24.243789730","0","41.10054","-106.48045","-18487.0","0.0"
"2020-08-29T16:14:48.839750183","0","41.16213","-106.69953","-21619.0","0.0"
"2020-08-29T16:16:07.151424515","0","37.67768","-106.78775","37720.0","0.0"
"2020-08-29T16:16:49.020985150","0","34.75071","-113.20567","-21214.0","0.0"
"2020-08-29T16:16:53.873734209","0","41.08434","-106.51546","-39134.0","0.0"
"2020-08-29T16:16:59.673231369","0","34.90982","-113.27253","-34304.0","0.0"
"2020-08-29T16:18:24.893170960","0","34.82412","-113.21088","-8550.0","0.0"
"2020-08-29T16:18:42.074142194","0","34.73926","-113.21018","-9655.0","0.0"
"2020-08-29T16:20:11.601716913","0","34.9159099","-113.24713","32883.0","0.0"
"2020-08-29T16:20:18.968239954","0","34.75287","-113.20551","-14432.0","0.0"
"2020-08-29T16:20:28.752260757","0","34.59212","-113.2157","-52281.0","0.0"
"2020-08-29T16:21:47.558893653","0","34.9150599","-113.23255","-21548.0","0.0"
"2020-08-29T16:22:15.852170225","0","41.12489","-106.62388","-25201.0","0.0"
"2020-08-29T16:22:43.981691155","0","36.50973","-106.99594","-34437.0","0.0"
"2020-08-29T16:23:21.013193722","0","34.58613","-113.17682","-33380.0","0.0"
"2020-08-29T16:24:46.761999777","0","34.85972","-113.14926","-18304.0","0.0"
"2020-08-29T16:25:33.303549946","0","41.11115","-106.56357","-46267.0","0.0"
"2020-08-29T16:26:45.965158523","0","34.94718","-113.2119","-44816.0","0.0"
"2020-08-29T16:28:06.342563012","0","36.5159","-106.92235","71646.0","0.0"
"2020-08-29T16:28:55.070694328","0","34.62839","-113.17713","-9884.0","0.0"
"2020-08-29T16:32:04.400407534","0","34.62336","-113.12498","30610.0","0.0"
"2020-08-29T16:32:26.839233859","0","36.64157","-106.8954399","-16914.0","0.0"
